"cod","numpedido","dataemissao","mes","ano","nomecliente","produto","qtde","prcunit","total","custounit","margem","estoque","compra"
"2249","2603","6/10/2019","6","2019","CLI3433","4374","33","11.44","377.52","487.089","656.911","46","COMPRA"
"2424","2205","4/8/2019","4","2019","CLI3060","4373","110","10.58","1163.8","352115","705885","458","NAOCOMPRA"
"2425","2208","4/8/2019","4","2019","CLI1889","4373","132","3.88","512.16","318616","0.693845","183","NAOCOMPRA"
"2426","2208","4/8/2019","4","2019","CLI1889","4373","10","3.88","38.8","318616","0.693845","468","NAOCOMPRA"
"2427","8225","4/8/2019","4","2019","CLI2259","4373","10","11.97","119.7","299216","897785","128","COMPRA"
"2428","1967","4/8/2019","4","2019","CLI3430","4373","99","11.44","1132.56","333536","810464","29","COMPRA"
"2429","1976","4/8/2019","4","2019","CLI3434","4373","4","11.44","377.52","333536","810464","25","COMPRA"
"2430","1995","4/8/2019","4","2019","CLI3470","4373","15","11.44","755.04","299216","844785","10","COMPRA"
"2431","2014","4/8/2019","4","2019","CLI3466","4373","7","11.44","377.52","299216","844785","3","COMPRA"
"2432","2018","4/8/2019","4","2019","CLI3436","4373","2","11.44","755.04","333536","810464","1","COMPRA"
"2433","2029","4/8/2019","4","2019","CLI3448","4373","1","11.44","755.04","299216","844785","0","COMPRA"
